frame,steering,throttle,vector_index,x0,y0,x1,y1,flags
172,0.1453305078414622,0,186,54,42,60,0,0
173,0.1653305078414622,0,182,23,42,27,5,0
173,0.1653305078414622,0,183,39,38,43,4,0
173,0.1653305078414622,0,186,54,42,60,0,0
174,0.14879745705731598,0,182,23,42,27,5,0
174,0.14879745705731598,0,183,39,38,43,4,0
174,0.14879745705731598,0,186,54,42,60,0,0
175,0.1339177113515844,0,182,23,42,27,5,0
175,0.1339177113515844,0,183,39,38,43,4,0
175,0.1339177113515844,0,186,54,42,60,0,0
176,0.12052594021642596,0,182,23,42,27,5,0
176,0.12052594021642596,0,183,39,38,43,4,0
176,0.12052594021642596,0,186,54,42,60,0,0
177,0.14052594021642595,0,182,23,42,27,5,0
177,0.14052594021642595,0,183,39,38,43,4,0
177,0.14052594021642595,0,186,54,42,60,0,0
178,0.16052594021642594,0,182,23,42,27,5,0
178,0.16052594021642594,0,183,38,37,43,4,0
178,0.16052594021642594,0,186,54,42,60,0,0
179,0.14447334619478336,0,182,23,42,27,5,0
179,0.14447334619478336,0,183,39,38,43,4,0
179,0.14447334619478336,0,186,54,42,60,0,0
180,0.13002601157530502,0,182,23,42,27,5,0
180,0.13002601157530502,0,183,39,38,43,4,0
180,0.13002601157530502,0,186,54,42,60,0,0
181,0.11702341041777452,0,182,23,42,27,5,0
181,0.11702341041777452,0,183,39,38,43,4,0
181,0.11702341041777452,0,186,54,42,60,0,0
182,0.10532106937599707,0,182,23,42,27,5,0
182,0.10532106937599707,0,183,39,38,43,4,0
182,0.10532106937599707,0,186,54,42,60,0,0
183,0.12532106937599707,0,182,23,42,27,5,0
183,0.12532106937599707,0,183,39,38,43,4,0
183,0.12532106937599707,0,186,54,42,60,0,0
184,0.14532106937599706,0,182,23,42,27,5,0
184,0.14532106937599706,0,183,39,38,43,4,0
184,0.14532106937599706,0,186,54,42,60,0,0
185,0.13078896243839735,0,182,23,42,27,5,0
185,0.13078896243839735,0,183,39,38,43,4,0
185,0.13078896243839735,0,186,54,42,60,0,0
186,0.11771006619455762,0,182,23,42,27,5,0
186,0.11771006619455762,0,183,39,38,43,4,0
186,0.11771006619455762,0,186,57,24,60,0,0
186,0.11771006619455762,0,188,54,42,56,30,2
187,0.10593905957510186,0,182,23,42,27,5,0
187,0.10593905957510186,0,183,39,38,43,4,0
187,0.10593905957510186,0,186,54,42,60,0,0
188,0.12593905957510185,0,182,23,42,27,5,0
188,0.12593905957510185,0,183,38,37,43,4,0
188,0.12593905957510185,0,186,54,42,60,0,0
189,0.14593905957510184,0,182,23,42,27,5,0
189,0.14593905957510184,0,183,39,38,43,4,0
189,0.14593905957510184,0,186,54,42,60,0,0
190,0.16593905957510183,0,182,23,42,27,5,0
190,0.16593905957510183,0,183,39,38,43,4,0
190,0.16593905957510183,0,186,54,42,60,0,0
191,0.14934515361759165,0,182,23,42,27,5,0
191,0.14934515361759165,0,183,39,38,43,4,0
191,0.14934515361759165,0,186,54,42,60,0,0
192,0.1344106382558325,0,182,24,40,27,5,0
192,0.1344106382558325,0,183,39,38,43,4,0
192,0.1344106382558325,0,186,54,42,60,0,0
193,0.12096957443024925,0,182,23,42,27,5,0
193,0.12096957443024925,0,183,38,37,43,4,0
193,0.12096957443024925,0,186,54,42,60,0,0
194,0.14096957443024924,0,182,23,42,27,5,0
194,0.14096957443024924,0,183,38,37,43,4,0
194,0.14096957443024924,0,186,54,42,60,0,0
195,0.16096957443024923,0,182,23,42,27,5,0
195,0.16096957443024923,0,183,38,37,43,4,0
195,0.16096957443024923,0,186,54,42,60,0,0
196,0.18096957443024922,0,182,23,42,26,4,0
196,0.18096957443024922,0,183,38,37,44,5,0
196,0.18096957443024922,0,186,54,42,60,0,0
197,0.1628726169872243,0,182,23,42,27,5,0
197,0.1628726169872243,0,183,38,37,43,4,0
197,0.1628726169872243,0,186,54,42,60,0,0
198,0.14658535528850186,0,182,24,40,27,5,0
198,0.14658535528850186,0,183,38,37,43,4,0
198,0.14658535528850186,0,186,53,42,60,0,0
199,0.13192681975965168,0,182,23,42,27,5,0
199,0.13192681975965168,0,183,38,37,43,4,0
199,0.13192681975965168,0,186,54,42,60,0,0
200,0.15192681975965167,0,182,23,42,27,5,0
200,0.15192681975965167,0,183,38,37,43,4,0
200,0.15192681975965167,0,186,53,42,60,0,0
201,0.17192681975965166,0,182,23,42,27,5,0
201,0.17192681975965166,0,183,38,37,44,5,0
